lat,lon,precipitation,runoff,efficiency
-88.7669513528422,235.546875,3.7252005e-06,0.0,0.0
-88.7669513528422,236.25,3.7244743e-06,0.0,0.0
-88.7669513528422,236.953125,3.7237485e-06,0.0,0.0
-88.7669513528422,237.65625,3.7230222e-06,0.0,0.0
-88.7669513528422,238.359375,3.7222962e-06,0.0,0.0
-88.7669513528422,239.0625,3.7215702e-06,0.0,0.0
-88.7669513528422,239.765625,3.7208438e-06,0.0,0.0
-88.7669513528422,240.46875,3.7201182e-06,0.0,0.0
-88.7669513528422,241.171875,3.7193922e-06,0.0,0.0
-88.7669513528422,241.875,3.7186658e-06,0.0,0.0
-88.7669513528422,242.578125,3.71794e-06,0.0,0.0
-88.7669513528422,243.28125,3.717214e-06,0.0,0.0
-88.7669513528422,243.984375,3.7164878e-06,0.0,0.0
-88.7669513528422,244.6875,3.7157615e-06,0.0,0.0
-88.7669513528422,245.390625,3.7138557e-06,0.0,0.0
-88.7669513528422,246.09375,3.711725e-06,0.0,0.0
-88.7669513528422,246.796875,3.7095942e-06,0.0,0.0
-88.7669513528422,247.5,3.7074633e-06,0.0,0.0
-88.7669513528422,248.203125,3.7053323e-06,0.0,0.0
-88.7669513528422,248.90625,3.7032014e-06,0.0,0.0
-88.7669513528422,249.609375,3.7010705e-06,0.0,0.0
-88.7669513528422,250.3125,3.69894e-06,0.0,0.0
-88.7669513528422,251.015625,3.6968088e-06,0.0,0.0
-88.7669513528422,251.71875,3.6946778e-06,0.0,0.0
-88.7669513528422,252.421875,3.6925476e-06,0.0,0.0
-88.7669513528422,253.125,3.690416e-06,0.0,0.0
-88.7669513528422,253.828125,3.6882855e-06,0.0,0.0
-88.7669513528422,254.53125,3.686155e-06,0.0,0.0
-88.7669513528422,255.234375,3.6840236e-06,0.0,0.0
-88.7669513528422,255.9375,3.681893e-06,0.0,0.0
-88.7669513528422,256.640625,3.6797624e-06,0.0,0.0
-88.7669513528422,257.34375,3.6776314e-06,0.0,0.0
-88.7669513528422,258.046875,3.6755007e-06,0.0,0.0
-88.7669513528422,258.75,3.6733695e-06,0.0,0.0
-88.7669513528422,259.453125,3.6701913e-06,0.0,0.0
-88.7669513528422,260.15625,3.6651506e-06,0.0,0.0
-88.7669513528422,260.859375,3.66011e-06,0.0,0.0
-88.7669513528422,261.5625,3.6550691e-06,0.0,0.0
-88.7669513528422,262.265625,3.6500285e-06,0.0,0.0
-88.7669513528422,262.96875,3.6449878e-06,0.0,0.0
-88.7669513528422,263.671875,3.639947e-06,0.0,0.0
-88.7669513528422,264.375,3.634906e-06,0.0,0.0
-88.7669513528422,265.078125,3.6298654e-06,0.0,0.0
-88.7669513528422,265.78125,3.624824e-06,0.0,0.0
-88.7669513528422,266.484375,3.6197841e-06,0.0,0.0
-88.7669513528422,267.1875,3.6147433e-06,0.0,0.0
-88.7669513528422,267.890625,3.6097022e-06,0.0,0.0
-88.7669513528422,268.59375,3.6046617e-06,0.0,0.0
-88.7669513528422,269.296875,3.599621e-06,0.0,0.0
-88.7669513528422,270.0,3.5945802e-06,0.0,0.0
-88.7669513528422,270.703125,3.5895393e-06,0.0,0.0
-88.7669513528422,271.40625,3.5844987e-06,0.0,0.0
-88.7669513528422,272.109375,3.5794574e-06,0.0,0.0
-88.7669513528422,272.8125,3.5744172e-06,0.0,0.0
-88.7669513528422,273.515625,3.569376e-06,0.0,0.0
-88.7669513528422,274.21875,3.5603543e-06,0.0,0.0
-88.7669513528422,274.921875,3.5507899e-06,0.0,0.0
-88.7669513528422,275.625,3.541225e-06,0.0,0.0
-88.7669513528422,276.328125,3.5316602e-06,0.0,0.0
-88.7669513528422,277.03125,3.5220955e-06,0.0,0.0
-88.7669513528422,277.734375,3.5125308e-06,0.0,0.0
-88.7669513528422,278.4375,3.5029666e-06,0.0,0.0
-88.7669513528422,279.140625,3.493402e-06,0.0,0.0
-88.7669513528422,279.84375,3.4838372e-06,0.0,0.0
-88.7669513528422,280.546875,3.4742725e-06,0.0,0.0
-88.7669513528422,281.25,3.4647078e-06,0.0,0.0
-88.7669513528422,281.953125,3.4551433e-06,0.0,0.0
-88.7669513528422,282.65625,3.4455786e-06,0.0,0.0
-88.7669513528422,283.359375,3.4360137e-06,0.0,0.0
-88.7669513528422,284.0625,3.4264494e-06,0.0,0.0
-88.7669513528422,284.765625,3.4168843e-06,0.0,0.0
-88.7669513528422,285.46875,3.4073198e-06,0.0,0.0
-88.7669513528422,286.171875,3.397755e-06,0.0,0.0
-88.7669513528422,286.875,3.3881904e-06,0.0,0.0
-88.7669513528422,287.578125,3.3786257e-06,0.0,0.0
-88.7669513528422,288.28125,3.3684216e-06,0.0,0.0
-88.7669513528422,288.984375,3.357258e-06,0.0,0.0
-88.7669513528422,289.6875,3.3460942e-06,0.0,0.0
-88.7669513528422,290.390625,3.334931e-06,0.0,0.0
-88.7669513528422,291.09375,3.3237675e-06,0.0,0.0
-88.7669513528422,291.796875,3.3126043e-06,0.0,0.0
-88.7669513528422,292.5,3.3014408e-06,0.0,0.0
-88.7669513528422,293.203125,3.2902774e-06,0.0,0.0
-88.7669513528422,293.90625,3.2791133e-06,0.0,0.0
-88.7669513528422,294.609375,3.2679502e-06,0.0,0.0
-88.7669513528422,295.3125,3.2567866e-06,0.0,0.0
-88.7669513528422,296.015625,3.2456235e-06,0.0,0.0
-88.7669513528422,296.71875,3.23446e-06,0.0,0.0
-88.7669513528422,297.421875,3.2232963e-06,0.0,0.0
-88.7669513528422,298.125,3.2121332e-06,0.0,0.0
-88.7669513528422,298.828125,3.2009696e-06,0.0,0.0
-88.7669513528422,299.53125,3.189806e-06,0.0,0.0
-88.7669513528422,300.234375,3.1786424e-06,0.0,0.0
-88.7669513528422,300.9375,3.1674788e-06,0.0,0.0
-88.7669513528422,301.640625,3.1563154e-06,0.0,0.0
-88.7669513528422,302.34375,3.1451523e-06,0.0,0.0
-88.7669513528422,303.046875,3.1369093e-06,0.0,0.0
-88.7669513528422,303.75,3.1289205e-06,0.0,0.0
-88.7669513528422,304.453125,3.120932e-06,0.0,0.0
-88.7669513528422,305.15625,3.1129434e-06,0.0,0.0
-88.7669513528422,305.859375,3.1049549e-06,0.0,0.0
-88.7669513528422,306.5625,3.096966e-06,0.0,0.0
-88.7669513528422,307.265625,3.0889776e-06,0.0,0.0
-88.7669513528422,307.96875,3.0809886e-06,0.0,0.0
-88.7669513528422,308.671875,3.0730005e-06,0.0,0.0
-88.7669513528422,309.375,3.0650112e-06,0.0,0.0
-88.7669513528422,310.078125,3.0570232e-06,0.0,0.0
-88.7669513528422,310.78125,3.0490344e-06,0.0,0.0
-88.7669513528422,311.484375,3.0410454e-06,0.0,0.0
-88.7669513528422,312.1875,3.0330568e-06,0.0,0.0
-88.7669513528422,312.890625,3.0250683e-06,0.0,0.0
-88.7669513528422,313.59375,3.0170797e-06,0.0,0.0
-88.7669513528422,314.296875,3.009091e-06,0.0,0.0
-88.7669513528422,315.0,3.0011024e-06,0.0,0.0
-88.7669513528422,315.703125,2.9931136e-06,0.0,0.0
-88.7669513528422,316.40625,2.9851249e-06,0.0,0.0
-88.7669513528422,317.109375,2.9782134e-06,0.0,0.0
-88.7669513528422,317.8125,2.972672e-06,0.0,0.0
